"","X","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DPnts","DOppPnts","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DTRB","DAST","DSTL","DBLK","DTOV","SeedDiff","SRSxSOS","FGxThreeP","FGxFT","FGxTRB","FGxAST","FGxSTL","FGxBLK","FGxTOV","FGxSD","ThreePxFTpct","ThreePxAST","ThreePxTRB","ThreePxSTL","ThreePxSD","FTAxTRB","FTAxAST","FTAxSTL","FTAxBLK","FTAxTOV","FTAxSD","TRBxAST","TRBxSTL","TRBxBLK","TRBxTOV","TRBxSD","ASTxSTL","ASTxBLK","ASTxTOV","ASTxSD","STLxBLK","STLxTOV","STLxSD","BLKxTOV","BLKxSD","TOVxSD","ScD","winner","GamesSq","WinsxSOS","SeedDiffSq"
"150",150,0,3,-3,0.1,5.77,4.02,3,-1,199,111,71,94,0.017,28,18,0.038,29,17,0.022,152,136,-54,20,-7,-5,23.1954,1988,2059,10792,9656,-3834,1420,-497,-355,0.616,3808,4256,-1512,-140,2584,2312,-918,340,-119,-85,20672,-8208,3040,-1064,-760,-7344,2720,-952,-680,-1080,378,270,-140,-100,270,13,1,0,12.06,25
"151",151,4,-1,5,-0.127,12.46,8.36,-5,3,443,282,119,249,0.005,56,95,0.043,149,239,-0.014,288,70,43,-9,124,-7,104.1656,6664,17731,34272,8330,5117,-1071,14756,-833,-0.784,3920,16128,2408,-392,68832,16730,10277,-2151,29636,-1673,20160,12384,-2592,35712,-2016,3010,-630,8680,-490,-387,5332,-301,-1116,63,-301,23,1,16,-8.36,49
"152",152,2,7,-5,0.183,23.41,16.87,8,-4,407,258,193,61,0.093,-74,-206,-0.00599999999999995,95,167,-0.0249999999999999,130,67,33,32,146,-13,394.9267,-14282,18335,25090,12931,6369,6176,28178,-2509,1.84999999999999,-4958,-9620,-2442,962,21710,11189,5511,5344,24382,-2171,8710,4290,4160,18980,-1690,2211,2144,9782,-871,1056,4818,-429,4672,-416,-429,34,1,4,118.09,169
"153",153,4,-1,5,-0.138,10.07,13.04,-2,6,589,675,240,643,-0.043,-102,-215,-0.049,211,342,-0.0439999999999999,511,126,69,86,200,-7,131.3128,-24480,50640,122640,30240,16560,20640,48000,-1680,4.48799999999999,-12852,-52122,-7038,714,174762,43092,23598,29412,68400,-2394,64386,35259,43946,102200,-3577,8694,10836,25200,-882,5934,13800,-483,17200,-602,-483,3,1,16,-13.04,49
"154",154,4,9,-5,0.189,21.12,12.48,5,-1,359,79,117,8,0.063,17,21,0.022,108,112,0.0439999999999999,119,116,-38,57,14,-13,263.5776,1989,12636,13923,13572,-4446,6669,1638,-1521,0.747999999999998,1972,2023,-646,-221,13328,12992,-4256,6384,1568,-1456,13804,-4522,6783,1666,-1547,-4408,6612,1624,-1508,-2166,-532,494,798,-741,494,14,1,16,112.32,169
"155",155,4,3,1,0.00600000000000001,12.88,13.65,-3,3,-194,-198,-107,-366,0.027,-117,-333,-0.00900000000000001,137,121,0.074,19,9,-109,124,172,-9,175.812,12519,-14659,-2033,-963,11663,-13268,-18404,963,-8.658,-1053,-2223,12753,1053,2299,1089,-13189,15004,20812,-1089,171,-2071,2356,3268,-171,-981,1116,1548,-81,-13516,-18748,981,21328,-1116,981,10,1,16,40.95,81
"156",156,0,1,-1,0.032,18,11.42,1,1,-50,-210,-6,0,-0.00399999999999995,-7,-16,-0.002,-31,-57,0.0109999999999999,122,-120,-71,54,-42,-11,205.56,42,186,-732,720,426,-324,252,66,-0.0769999999999993,840,-854,497,77,-6954,6840,4047,-3078,2394,627,-14640,-8662,6588,-5124,-1342,8520,-6480,5040,1320,-3834,2982,781,-2268,-594,781,22,1,0,11.42,121
"157",157,-2,0,-2,0.043,0.869999999999999,-0.0500000000000007,1,1,-636,-656,-211,-500,-0.003,-85,-284,0.015,-129,-172,-0.02,-214,-52,-93,-35,-40,-3,-0.0435000000000006,17935,27219,45154,10972,19623,7385,8440,633,1.7,4420,18190,7905,255,36808,8944,15996,6020,6880,516,11128,19902,7490,8560,642,4836,1820,2080,156,3255,3720,279,1400,105,279,-13,0,4,0,9
"158",158,-2,4,-6,0.18,4.67,-2.42,4,-4,257,68,130,124,0.044,-24,-60,-0.00699999999999995,21,9,0.019,116,74,17,20,71,-3,-11.3014,-3120,2730,15080,9620,2210,2600,9230,-390,-0.456,-1776,-2784,-408,72,1044,666,153,180,639,-27,8584,1972,2320,8236,-348,1258,1480,5254,-222,340,1207,-51,1420,-60,-51,12,1,4,-9.68,9
"159",159,6,11,-5,0.202,29.93,14.33,2,0,949,416,348,614,0.028,112,232,0.051,141,175,0.023,410,195,54,24,45,-15,428.8969,38976,49068,142680,67860,18792,8352,15660,-5220,2.576,21840,45920,6048,-1680,71750,34125,9450,4200,7875,-2625,79950,22140,9840,18450,-6150,10530,4680,8775,-2925,1296,2430,-810,1080,-360,-810,39,1,36,157.63,225
